"Species","2008","2009","2010","2011","2012","2013","2014"
"Ring-billed Gull",974,1959,419,2120,2939,1432,1876
"Ring-necked Duck",19,124,151,25,95,4,38
"Ring-necked Pheasant",9,0,2,"cw",0,0,0
"Rock Pigeon (Feral Pigeon)",2296,1626,2309,841,1081,1210,1443
"Rose-breasted Grosbeak",0,0,0,1,0,0,0
"Rough-legged Hawk",3,1,3,1,"cw",6,2
"Ruby-crowned Kinglet",0,0,0,0,0,1,0
"Ruddy Duck",882,423,450,630,543,41,39
"Rusty Blackbird",0,0,0,13,0,"cw",0
"Sandhill Crane",0,0,0,0,2,0,0
"Sharp-shinned Hawk",12,12,12,10,6,7,10
"Snow Bunting",243,126,259,2,1,188,0
"Snow Goose",0,0,0,0,"cw",0,0
"Snowy Owl",1,1,0,0,0,2,"cw"
"Song Sparrow",74,18,23,22,21,21,12
"Surf Scoter",22,181,34,137,59,31,54
"Swamp Sparrow",8,4,6,2,0,3,6
"Thayer's Gull",1,0,0,1,1,1,0
"Trumpeter Swan",184,153,193,191,118,187,95
"Tufted Titmouse",1,0,1,0,1,1,1
"Tundra Swan",0,32,21,6,13,5,0
"Turkey Vulture",0,"cw",0,0,0,0,2
"White-breasted Nuthatch",256,257,201,165,161,135,254
"White-crowned Sparrow",9,0,5,1,4,2,2
"White-throated Sparrow",124,57,113,66,58,51,76
"White-winged Crossbill",2493,0,0,0,"cw",0,0
"White-winged Scoter",379,667,576,474,701,504,409
"Wild Turkey",59,30,66,16,98,89,76
"Wilson's Warbler",0,0,0,1,0,0,0
"Winter Wren",0,0,24,7,11,25,17
"Wood Duck",3,6,4,0,"cw",0,0
"woodpecker sp.",0,0,0,0,0,1,1
"Yellow-bellied Sapsucker",0,1,0,0,0,0,1
"Yellow-rumped Warbler (Myrtle)","cw",6,0,5,1,3,3
